user_id,username,post_id,title,view_count,average_rating,upvote_count,interaction_type,video_link,category_id,category_description,Mood
65,000696.b213405e4294424bb1999815127bfe1c.0425,515,,48,0,57,liked,https://video-cdn.socialverseapp.com/kinha_2df5643f-4866-4678-b10c-c0c0b6c8ac56.mp4,2,All the best vibes!,Happy
18,jack,52,Matthew 25:29,103,28,81,liked,https://video-cdn.socialverseapp.com/mike_78b56afc-3c72-4754-b4d1-8e09b279d970.mp4,2,All the best vibes!,Happy
18,jack,415,,130,21,26,liked,https://video-cdn.socialverseapp.com/kinha_e45698f2-8e6c-4851-bde1-db1c7aebb0f5.mp4,2,All the best vibes!,Happy
18,jack,586,,87,0,67,liked,https://video-cdn.socialverseapp.com/kinha_e3a2c020-8be7-48c4-8aae-7ef3e5d8519b.mp4,2,All the best vibes!,Happy
18,jack,588,,78,0,60,liked,https://video-cdn.socialverseapp.com/kinha_f5905951-1d59-442b-8a38-da037f484c82.mp4,2,All the best vibes!,Happy
18,jack,558,,100,34,77,liked,https://video-cdn.socialverseapp.com/kinha_00043ceb-bb9d-4053-9d96-9796d8eca513.mp4,2,All the best vibes!,Happy
18,jack,491,,98,0,35,liked,https://video-cdn.socialverseapp.com/kinha_93ae5f91-7c8b-4ed9-907e-f41913ad0b23.mp4,2,All the best vibes!,Happy
18,jack,86,Revolutionizing Men's Mental Health: Your $0.99 Matters,129,29,32,liked,https://video-cdn.socialverseapp.com/kinha_64cc8197-8e8a-4a17-88d7-de97e3692324.mp4,2,All the best vibes!,Happy
18,jack,547,,57,0,70,liked,https://video-cdn.socialverseapp.com/kinha_e61c90c0-ca72-461c-bc74-2fb54f0bfcaa.mp4,2,All the best vibes!,Happy
18,jack,463,,30,0,66,liked,https://video-cdn.socialverseapp.com/kinha_0365429f-3c9f-40c9-9176-bf34defe6c46.mp4,2,All the best vibes!,Happy
18,jack,433,,45,0,41,liked,https://video-cdn.socialverseapp.com/kinha_db83c075-37ce-4579-82b8-d18d29647d06.mp4,2,All the best vibes!,Happy
18,jack,499,,81,0,37,liked,https://video-cdn.socialverseapp.com/kinha_b46af1d7-9170-4fed-aca9-d2b9696fcfd4.mp4,2,All the best vibes!,Happy
18,jack,546,,70,37,46,liked,https://video-cdn.socialverseapp.com/kinha_15b7d260-79af-4baa-9993-6aad8e840e0c.mp4,2,All the best vibes!,Happy
18,jack,551,,93,22,58,liked,https://video-cdn.socialverseapp.com/kinha_65710536-3615-49d8-88d6-380ff98e337a.mp4,2,All the best vibes!,Happy
18,jack,549,,97,6,48,liked,https://video-cdn.socialverseapp.com/kinha_7a17ca41-78f3-4af4-8408-754a746c648e.mp4,2,All the best vibes!,Happy
18,jack,427,,26,0,59,liked,https://video-cdn.socialverseapp.com/kinha_a27a610d-88f3-4e07-8427-8875a4db0846.mp4,2,All the best vibes!,Happy
18,jack,560,,212,9,56,liked,https://video-cdn.socialverseapp.com/kinha_204aa876-b5ba-424f-8f62-239c4d185459.mp4,2,All the best vibes!,Happy
94,000785.5569a801bd0f468aa0027e0b2cdfcbe0.0537,558,,100,34,77,liked,https://video-cdn.socialverseapp.com/kinha_00043ceb-bb9d-4053-9d96-9796d8eca513.mp4,2,All the best vibes!,Happy
102,000857.182c2b5d4d044cd1ac93362ad4392d68.0230,631,,92,43,52,liked,https://video-cdn.socialverseapp.com/afrobeezy_76fe96c5-7c43-4ffb-86c7-24f7929b04d4.mp4,2,All the best vibes!,Happy
102,000857.182c2b5d4d044cd1ac93362ad4392d68.0230,586,,87,0,67,liked,https://video-cdn.socialverseapp.com/kinha_e3a2c020-8be7-48c4-8aae-7ef3e5d8519b.mp4,2,All the best vibes!,Happy
103,000919.d9cce8c35ae842e5beb5887020d8b456.1707,631,,92,43,52,liked,https://video-cdn.socialverseapp.com/afrobeezy_76fe96c5-7c43-4ffb-86c7-24f7929b04d4.mp4,2,All the best vibes!,Happy
1,afrobeezy,583,,75,44,57,liked,https://video-cdn.socialverseapp.com/kinha_45eba31d-c673-454a-af99-a55dd49da9ee.mp4,2,All the best vibes!,Happy
1,afrobeezy,148,,115,38,56,liked,https://video-cdn.socialverseapp.com/kinha_ae59158d-fe8e-4834-8a52-8acbb853c89a.mp4,2,All the best vibes!,Happy
39,swapnil,631,,92,43,52,liked,https://video-cdn.socialverseapp.com/afrobeezy_76fe96c5-7c43-4ffb-86c7-24f7929b04d4.mp4,2,All the best vibes!,Happy
1,afrobeezy,491,,98,0,35,liked,https://video-cdn.socialverseapp.com/kinha_93ae5f91-7c8b-4ed9-907e-f41913ad0b23.mp4,2,All the best vibes!,Happy
